contract_id,vendor,vendor_abn,description,category,contract_value,award_date,end_date,procurement_method,approved_by
CON-81058,SA Power Networks,77 134 959 967,Placeat nemo beatae impedit facilis deleniti exercitationem omnis.,Infrastructure,1834214.28,27/02/2025,2028-01-20,Open Tender,Caroline Bailey
CON-92667,Fulton Hogan,18 824 254 109,Numquam ipsam unde doloremque placeat culpa quas assumenda qui.,IT Services,827722.48,28/12/2025,2027-08-27,Panel Contract,Marc Hernandez
CON-97392,Jacobs,71 775 599 116,Accusamus possimus beatae ipsum ad distinctio modi.,Infrastructure,,05/01/2026,2027-10-01,Panel Contract,Joseph Green
CON-46010,AECOM,46 117 614 932,Quas consequuntur praesentium accusantium nesciunt optio aliquam cumque eligendi ratione nulla.,Maintenance,1061188.21,09/04/2025,2027-10-11,Select Tender,Matthew Smith
CON-29516,Fulton Hogan,34 734 639 358,Optio totam facere autem eos sunt harum.,Professional Services,,25/01/2025,2026-01-23,Panel Contract,Katie Mckinney
CON-70161,Jacobs,41 813 331 407,Laborum nisi at dicta vitae natus quae aliquam.,Infrastructure,1918799.1,02/03/2026,2028-03-30,Open Tender,Elizabeth Burns
CON-82443,GHD,17 752 109 819,Accusantium placeat explicabo esse voluptatum voluptatem.,IT Services,761631.72,29/10/2025,2026-04-21,Panel Contract,Antonio Scott
CON-53420,Jacobs,22 640 143 335,Velit veniam dolorem exercitationem hic.,IT Services,1291589.95,24/01/2025,2027-11-02,Panel Contract,Nicholas Meyer
CON-99709,BMD Group,79 677 773 133,Sit placeat impedit nemo incidunt est non ipsum consectetur officiis neque.,IT Services,,07/09/2025,2028-07-14,Direct Negotiation,Christina Taylor
CON-28899,Cardno (now Stantec),19 406 266 677,Tenetur inventore tenetur quo omnis natus culpa architecto minus quaerat.,IT Services,418280.44,15/09/2025,2027-07-17,Panel Contract,Ryan Thomas
CON-60311,Downer Group,98 841 180 612,Sunt impedit illum ipsam ut tempora ut earum.,Professional Services,1083422.05,21/04/2024,2024-09-12,Open Tender,Ashley Lopez
CON-54642,Jacobs,88 709 506 892,Nulla non nostrum nisi doloremque ad aspernatur quod consequatur sapiente iusto.,Professional Services,1678155.94,12/11/2025,2026-03-12,Direct Negotiation,Catherine Hughes
CON-39902,McConnell Dowell,80 484 542 290,Cum dolorem illum voluptas unde veniam.,Waste Management,903847.64,02/04/2025,2027-05-08,Panel Contract,Michael Harris
CON-42302,Veolia Environmental,20 374 257 489,Debitis veritatis ipsa nulla porro.,IT Services,1239138.7,04/09/2024,2026-12-30,Panel Contract,Stacy Patterson
CON-10680,BMD Group,66 468 879 376,Non repudiandae quam hic vel.,Infrastructure,217569.08,22/11/2025,2026-07-05,Open Tender,Kimberly Davidson
